Horodateur,Nom de la Structure,Thématique de travail,Adresse,Latitude,Longitude,Description de la structure,Contact,Site internet,Photos,Departement,Implication,Lien avec Traces,,
,Regards des Lieux,Equipements culturels,51 Cours de la Libération et du Général de Gaulle 38100 Grenoble  ,45.1758336,5.7152968,,,http://regardsdeslieux.fr/,,Isère,,,,
,Regie de Quartier Villeneuve,Education,Galerie de l'Arlequin 38100 Grenoble  ,45.1639557,5.7327035,,,http://www.regiegrenoble.org/,,Isère,,,,
,RESF 73 Chambéry,Solidarités,Che des Ecureuils 73000 Chambéry  ,45.5796243,5.9301375,,,http://www.educationsansfrontieres.org/ page=contacts&id_rubrique=313,,Haute-Savoie,,,,
,SAint-Marcellin,Collectivités Territoriales,21 Place d'Armes 38160 SAint-Marcellin  ,45.15414370000001,5.3199139,,,,,Vercors,,,,
,Secours populaire Belley 01,Solidarités,Avenue Hoff 01300 Belley  ,45.7507894,5.683707999999999,,,https://www.secourspopulaire.fr/comite-de-belley,,Ain,,,,
,SOS Méditerranée,Solidarités,86 Rue Vaillant Couturier 42000 SAint-Étienne  ,45.4280813,4.3840116,,,https://www.sosmediterranee.fr/,,Loire,,,,
,Tabadol,Education,39 Rue Georges Courteline 69100 Villeurbanne  ,45.779221,4.878559,,,www.tabadol.org,,Rhône,,,,
,Teroloko,Solidarités,Conversiere et Chapelle 38470 Notre-Dame-de-l'Osier  ,45.2368513,5.4043832,,,https://teroloko.com/,,Vercors,,,,
,Terre des livres,Equipements culturels,86 Rue de Marseille 69007 Lyon  ,45.7488505,4.8379694,,,http://www.terredeslivres.fr/,,Rhône,,,,
,Théâtre de l'Elysée,Equipements culturels,14 Rue Basse Combalot 69007 Lyon  ,45.7550994,4.842148799999999,,,https://lelysee.com/,,Rhône,,,,
,Theatre du Reel,Equipements culturels,63 Avenue du 8 Mai 1945 38400 SAint-Martin-d'Hères  ,45.1686442,5.755688,,,http://theatredureel.fr/,,Isère,,,,
,Tillandsia,Artistes,Grande Rue de la Guillotière 69007 Lyon  ,45.7502745,4.8504236,,,https://tillandsia-video.com/,,Rhône,,,,
,UCA,Recherche,49 Boulevard François Mitterrand 63000 Clermont-Ferrand  ,45.77059,3.08794,,,https://www.uca.fr/,,Auvergne,,,,
,Un toit c'est tout,Solidarités,19 Rue Joannés Beaulieu 42170 SAint-Just-SAint-Rambert  ,45.50294419999999,4.2610804,,,,,Loire,,,,
,Université populaire,Education,R du Laurier 73000 Chambéry  ,45.5665436,5.9268069,,,http://aqcv.org/adultes/universite-populaire.html,,Savoie,,,,
,Videoformes,Equipements culturels,190 Boulevard Gustave Flaubert 63000 Clermont-Ferrand  ,45.7601344,3.1263256,,,https://videoformes.com/,,Auvergne,,,,
,Villa Gillet,Equipements culturels,25 Rue Chazière 69004 Lyon  ,45.775232,4.818003099999999,,,https://www.villagillet.net/,,Rhône,,,,
,Ville de Clermont-Ferrand,Collectivités Territoriales,10 Rue Philippe Marcombes 63000 Clermont-Ferrand  ,45.7798396,3.0865628,,,https://clermont-ferrand.fr/,,Auvergne,,,,
,Ville de Rillieux-la-Pape,Collectivités Territoriales,165 Rue Ampère 69140 Rillieux-la-Pape  ,45.8182954,4.8992755,,,,,Rhône,,,,
,Vive La TASE !,Patrimoine & Mémoire,13 Avenue Bataillon Carmagnole Liberté 69120 Vaulx-en-Velin  ,45.7588909,4.9257293,,,vivelatase.blogspot.fr,,Rhône,,,,
