Latitude,Longitude,Horodateur,Nom de la Structure,Thématique de travail,Adresse,Description de la structure,Contact,Site internet,Photos,Departement,Implication,Lien avec Traces
45.8182954,4.8992755,,Ville de Rillieux-la-Pape,Collectivités Territoriales,165 Rue Ampère 69140 Rillieux-la-Pape  ,,,,,Rhône,,
45.7588909,4.9257293,,Vive La TASE !,Patrimoine & Mémoire,13 Avenue Bataillon Carmagnole Liberté 69120 Vaulx-en-Velin  ,,,vivelatase.blogspot.fr,,Rhône,,
45.442307,4.384276799999999,,Zangmo,Artistes,13 Impasse Ernest Bonnave 42000 SAint-Étienne  ,,,https://ciezangmo.wordpress.com/,,Loire,,
45.8182954,4.8992755,,-,Collectivités Territoriales,165 Rue Ampère 69140 Rillieux-la-Pape  ,,,,,Ain,,
45.1579308,5.2989145,,Textes en l'air,,Grande Cour 38160 38160 ,,,http://www.textesenlair.net/,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
